"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Plaid Regression","Verify Plaid functionality","Plaid flow with Invalid Parameters","0","0","13","0","0"
"Account Check Regression","Verify Account Check functionality","Account check flow with Null Parameters","0","0","11","0","0"
"PPE Regression","Verify PPE functionality","PPE_Heloc Flow with valid Parameters","0","0","11","0","0"
"PPE Regression","Verify PPE functionality","PPE_Heloc Flow with invalid Parameters","0","0","11","0","0"
"Plaid Regression","Verify Plaid functionality","Plaid flow with Null Parameters","0","0","11","0","0"
"","","Finicity flow with Null Parameters","0","0","17","0","0"
"","","Zillow flow with valid scenario","0","0","7","0","0"
"","","Finicity flow with Invalid Parameters","0","0","19","0","0"
"Account Check Regression","Verify Account Check functionality","Account check flow with Invalid Scenarios","0","0","12","0","0"
"","","","0","1","23","0","0"
"","","Zillow flow with Null Parameters","0","0","14","0","0"
"","","Zillow flow with Invalid Parameters","0","0","10","0","0"
"Plaid Regression","Verify Plaid functionality","","0","1","0","0","0"
"Plaid Regression","Verify Plaid functionality","Plaid flow with valid scenario","0","0","2","0","0"
"Account Check Regression","Verify Account Check functionality","Account check flow with valid scenario","0","0","2","0","0"
"","","Finicity flow with valid scenario","1","0","5","0","0"
